country_name,country_code,indicator_name,indicator_code,year,value
Aruba,ABW,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,28.2486
Argentina,ARG,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,35.69129
Australia,AUS,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,34.06792
Austria,AUT,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,19.6978
Burundi,BDI,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,37.78079
Benin,BEN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,51.37396
Bangladesh,BGD,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,46.49041
Belize,BLZ,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,60.54413
Brazil,BRA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,30.88178
Barbados,BRB,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,27.64804
Switzerland,CHE,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,31.41961
Chile,CHL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,43.01821
Cote d'Ivoire,CIV,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,41.55833
Colombia,COL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,44.55692
Costa Rica,CRI,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,46.52694
Caribbean small states,CSS,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,50.24321
Cuba,CUB,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,34.50056
Cyprus,CYP,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,27.56949
Czechia,CZE,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,18.18888
Denmark,DNK,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,21.0204
Ecuador,ECU,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,38.2881
Spain,ESP,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,25.82618
European Union,EUU,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,21.211265
Finland,FIN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,21.40213
United Kingdom,GBR,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,24.71135
Hungary,HUN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,19.08233
India,IND,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,37.55736
Ireland,IRL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,30.84112
Iceland,ISL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,37.01107
Israel,ISR,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,35.42847
Italy,ITA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,25.81831
Kenya,KEN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,68.08704
Cambodia,KHM,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,62.6465
Kiribati,KIR,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,39.00548
Latin America & Caribbean (excluding high income),LAC,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,40.35094
Latin America & Caribbean,LCN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,41.105465
Lesotho,LSO,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,48.63788
Latvia,LVA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,20.89552
"Macao SAR, China",MAC,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,24.80577
Monaco,MCO,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,15.75302
Mexico,MEX,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,40.35094
Malawi,MWI,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,52.8109
Malaysia,MYS,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,27.16796
Namibia,NAM,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,58.7878
Nepal,NPL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,55.02941
OECD members,OED,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,26.860215
Panama,PAN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,37.61984
Peru,PER,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,41.85999
Philippines,PHL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,60.45892
Portugal,PRT,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,29.94187
Paraguay,PRY,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,46.40348
Rwanda,RWA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,48.17785
South Asia,SAS,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,46.49041
El Salvador,SLV,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,53.43486
Small states,SST,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,42.801155
Slovak Republic,SVK,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,15.64118
Sweden,SWE,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,27.89425
Eswatini,SWZ,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,35.3591
Turks and Caicos Islands,TCA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,34.35124
Togo,TGO,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,48.58945
Thailand,THA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,32.22869
Latin America & the Caribbean (IDA & IBRD countries),TLA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,41.85999
South Asia (IDA & IBRD),TSA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,46.49041
Trinidad and Tobago,TTO,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,50.24321
Tunisia,TUN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,33.3144
Uruguay,URY,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,32.55352
St. Vincent and the Grenadines,VCT,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,48.64321
Vanuatu,VUT,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,36.5275
Samoa,WSM,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,31.60662
South Africa,ZAF,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,45.93262
Zambia,ZMB,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2000,54.80165
Aruba,ABW,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,26.13369
Argentina,ARG,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,37.91883
Austria,AUT,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,19.63966
Burundi,BDI,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,40.08182
Benin,BEN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,55.3743
Bulgaria,BGR,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,20.78723
Brazil,BRA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,30.00274
Barbados,BRB,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,29.26084
Central Europe and the Baltics,CEB,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,19.23077
Switzerland,CHE,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,31.51195
Cote d'Ivoire,CIV,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,42.21462
Colombia,COL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,44.57196
Costa Rica,CRI,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,42.75659
Caribbean small states,CSS,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,45.26161
Cuba,CUB,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,31.15979
Cyprus,CYP,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,31.1626
Czechia,CZE,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,16.76988
Denmark,DNK,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,22.30624
Dominican Republic,DOM,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,55.49953
Euro area,EMU,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,22.8515
Eritrea,ERI,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,2001,26.53279
