country_name,country_code,indicator_name,indicator_code,year,value
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,20681.0230269625
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,706.727260967009
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,174.930991430166
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,518.969226054683
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,563.733795571487
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1160.42047054038
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,21810.2503808666
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2664.12520122649
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,29865.502347066
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,7637.01489203628
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,593.450581742282
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,12027.4949768222
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,21908.9968019784
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24487.2974685956
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,655.097249579917
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,134.537861752389
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,23098.8865077401
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,487.424141384242
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,248.908526921752
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,396.670730249751
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1621.26210738992
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,14214.4836839343
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24940.0775086078
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1338.48059636261
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1276.2880341
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4726.50675459616
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,56542.9569455727
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,975.777060358751
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,3766.54786339835
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,11674.6736471764
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,20130.2572346624
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,771.924911410619
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,3450.81180622992
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,239.154133726071
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24271.0020563821
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,3959.62494896645
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,38865.021939688
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,43479.1940767689
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,5052.99245766325
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,969.199513696287
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,936.636541348798
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,708.565731625965
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,377.925421481395
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1024.30159109181
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2555.00751039968
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,633.309032776244
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1189.51479345891
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,3812.75388284924
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,6477.26482123395
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2751.3817714814
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,15841.2612359949
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,14388.3525390625
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,6062.92152842793
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,23925.8559901991
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,737.612183644052
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,4867.39896323759
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,30722.0251837567
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2831.45883638033
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,1772.92869122761
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,961.301422369963
