country_name,country_code,indicator_name,indicator_code,year,value
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,72.939
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,52.5573418626777
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,55.005
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,50.2981700134604
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,46.501
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,74.826
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,81.863
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,66.8906998949344
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,76.347
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,73.91
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,72.8804878048781
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,71.443
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,74.819
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,79.2341463414634
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,78.1268292682927
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,65.377
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,47.617
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,77.7219512195122
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,56.594
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,50.808
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,62.049
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,71.6634146341463
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,74.673
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,72.481
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,75.292
